name,year_start,year_end,position,height,weight,birth_date,college
Mel Thurston,1948,1948.0,G,6-0,175.0,1919-01-16,Canisius College
Hal Tidrick,1949,1949.0,F-G,6-1,190.0,1915-08-04,Washington & Jefferson College
Dan Tieman,1963,1963.0,G,6-0,185.0,1940-11-30,Thomas More College
Darren Tillis,1983,1984.0,C-F,6-11,215.0,1960-02-23,Cleveland State University
Jack Tingle,1948,1949.0,F,6-4,205.0,1924-12-30,University of Kentucky
George Tinsley,1970,1972.0,F,6-5,205.0,1946-09-19,Kentucky Wesleyan College
Jamaal Tinsley,2002,2014.0,G,6-3,195.0,1978-02-28,Iowa State University
Wayman Tisdale,1986,1997.0,F-C,6-9,240.0,1964-06-09,University of Oklahoma
Mike Tobey,2017,2017.0,C,7-0,260.0,1994-10-10,University of Virginia
Mike Todorovich,1950,1951.0,F-C,6-5,220.0,1923-06-11,University of Wyoming
Ray Tolbert,1982,1989.0,F,6-9,225.0,1958-09-10,Indiana University
Tom Tolbert,1989,1995.0,F-C,6-7,235.0,1965-10-16,University of Arizona
Anthony Tolliver,2009,2018.0,F-C,6-8,240.0,1985-06-01,Creighton University
Dean Tolson,1975,1978.0,F,6-8,190.0,1951-11-25,University of Arkansas
Rudy Tomjanovich,1971,1981.0,F,6-8,218.0,1948-11-24,University of Michigan
Andrew Toney,1981,1988.0,G,6-3,178.0,1957-11-23,University of Louisiana at Lafayette
Sedric Toney,1986,1994.0,G,6-2,178.0,1962-04-13,University of Dayton
Andy Tonkovich,1949,1949.0,G,6-1,185.0,1922-11-01,Marshall University
Andy Toolson,1991,1996.0,G-F,6-6,210.0,1966-01-19,Brigham Young University
Jack Toomay,1948,1950.0,C-F,6-6,215.0,1922-08-09,University of the Pacific
Bernard Toone,1980,1980.0,F,6-9,210.0,1956-07-14,Marquette University
Irv Torgoff,1947,1949.0,F,6-2,192.0,1917-03-06,Long Island University
Gene Tormohlen,1963,1970.0,C-F,6-8,230.0,1937-05-12,University of Tennessee
Oscar Torres,2002,2003.0,F,6-6,210.0,1976-12-18,
Bill Tosheff,1952,1954.0,G,6-1,175.0,1926-06-02,Indiana University
Bob Tough,1949,1950.0,G-F,6-0,185.0,1920-08-28,St. John's University
Axel Toupane,2016,2017.0,G-F,6-7,197.0,1992-07-23,
Monte Towe,1976,1977.0,G,5-7,150.0,1953-09-27,North Carolina State University
Keith Tower,1994,1997.0,C-F,6-11,250.0,1970-05-15,University of Notre Dame
Blackie Towery,1949,1950.0,F-C,6-4,210.0,1920-06-20,Western Kentucky University
Linton Townes,1983,1985.0,F-G,6-7,190.0,1959-11-30,James Madison University
Karl-Anthony Towns,2016,2018.0,C-F,7-0,244.0,1995-11-15,University of Kentucky
Raymond Townsend,1979,1982.0,G,6-3,175.0,1955-12-20,"University of California, Los Angeles"
George Trapp,1972,1977.0,F-C,6-8,205.0,1948-07-11,"California State University, Long Beach"
John Trapp,1969,1973.0,F,6-7,210.0,1945-10-02,"University of Nevada, Las Vegas"
Robert Traylor,1999,2005.0,F,6-8,284.0,1977-02-01,University of Michigan
Gary Trent,1996,2004.0,F,6-8,250.0,1974-09-22,Ohio University
Jeff Trepagnier,2002,2004.0,G,6-4,200.0,1979-07-11,University of Southern California
John Tresvant,1965,1973.0,F-C,6-7,215.0,1939-11-06,Seattle University
Dick Triptow,1949,1950.0,G-F,6-0,170.0,1922-11-03,DePaul University
Kelly Tripucka,1982,1991.0,F-G,6-6,220.0,1959-02-16,University of Notre Dame
Ansley Truitt,1973,1973.0,C,6-9,215.0,1950-08-24,University of California
Cezary Trybanski,2003,2004.0,C,7-2,240.0,1979-09-22,
Jake Tsakalidis,2001,2007.0,C,7-2,285.0,1979-06-10,
John Tschogl,1973,1975.0,F,6-6,206.0,1950-04-25,"University of California, Santa Barbara"
Lou Tsioropoulos,1957,1959.0,F,6-5,190.0,1930-08-31,University of Kentucky
Nikoloz Tskitishvili,2003,2006.0,F,7-0,225.0,1983-04-14,
Al Tucker,1968,1972.0,F,6-8,190.0,1943-02-24,Oklahoma Baptist University
Alando Tucker,2008,2010.0,F,6-6,205.0,1984-02-11,University of Wisconsin
Anthony Tucker,1995,1995.0,F,6-8,220.0,1969-04-04,Wake Forest University
Jim Tucker,1955,1957.0,F,6-7,185.0,1932-12-11,Duquesne University
P.J. Tucker,2007,2018.0,F,6-6,245.0,1985-05-05,University of Texas at Austin
Trent Tucker,1983,1993.0,G,6-5,193.0,1959-12-20,University of Minnesota
Ronny Turiaf,2006,2015.0,F,6-10,249.0,1983-01-13,Gonzaga University
Mirsad Turkcan,2000,2000.0,F,6-9,236.0,1976-06-07,
Hedo Turkoglu,2001,2015.0,F,6-10,220.0,1979-03-19,
Andre Turner,1987,1992.0,G,5-11,160.0,1964-12-13,University of Memphis
Bill Turner,1968,1973.0,F,6-7,220.0,1944-02-18,University of Akron
Elston Turner,1982,1989.0,G-F,6-5,190.0,1959-06-10,University of Mississippi
Evan Turner,2011,2018.0,G,6-7,220.0,1988-10-27,Ohio State University
Gary Turner,1968,1968.0,F,6-7,200.0,,Texas Christian University
Henry Turner,1990,1995.0,G-F,6-7,200.0,1966-08-18,"California State University, Fullerton"
Herschell Turner,1968,1968.0,G,6-2,195.0,1938-03-29,University of Nebraska
David Vaughn,1955,1955.0,F-G,6-4,170.0,1930-06-29,Western Kentucky University
Jack Turner,1962,1962.0,G-F,6-5,200.0,1939-06-05,University of Louisville
Jeff Turner,1985,1996.0,F-C,6-9,230.0,1962-04-09,Vanderbilt University
John Turner,1992,1992.0,F,6-8,245.0,1967-11-30,Phillips University
Myles Turner,2016,2018.0,C-F,6-11,243.0,1996-03-24,University of Texas at Austin
Wayne Turner,2000,2000.0,G,6-2,190.0,1976-03-22,University of Kentucky
Melvin Turpin,1985,1990.0,C,6-11,240.0,1960-12-28,University of Kentucky
Dave Twardzik,1973,1980.0,G,6-1,175.0,1950-09-20,Old Dominion University
Jack Twyman,1956,1966.0,F-G,6-6,210.0,1934-05-11,University of Cincinnati
B.J. Tyler,1995,1995.0,G,6-1,185.0,1971-04-30,University of Texas at Austin
Jeremy Tyler,2012,2014.0,C,6-10,260.0,1991-06-21,
Terry Tyler,1979,1989.0,F-G,6-7,215.0,1956-10-30,University of Detroit Mercy
Charlie Tyra,1958,1962.0,C-F,6-8,230.0,1935-08-16,University of Louisville
Edwin Ubiles,2012,2012.0,G,6-6,204.0,1986-11-26,Siena College
Ekpe Udoh,2011,2018.0,C-F,6-10,240.0,1987-05-20,Baylor University
Ime Udoka,2004,2011.0,F,6-6,215.0,1977-08-09,Portland State University
Beno Udrih,2005,2017.0,G,6-3,205.0,1982-07-05,
Roko Ukic,2009,2010.0,G,6-5,183.0,1984-05-12,
Tyler Ulis,2017,2018.0,G,5-10,150.0,1996-01-05,University of Kentucky
Wes Unseld,1969,1981.0,C-F,6-7,245.0,1946-03-14,University of Louisville
Hal Uplinger,1954,1954.0,G,6-4,185.0,1929-09-30,Long Island University
Kelvin Upshaw,1989,1991.0,G,6-2,180.0,1963-01-24,University of Utah
Jarrod Uthoff,2017,2017.0,F,6-9,221.0,1993-05-19,University of Iowa
Ben Uzoh,2011,2012.0,G,6-3,205.0,1988-03-19,University of Tulsa
Stephen Vacendak,1968,1970.0,G,6-1,185.0,1944-08-15,Duke University
Jonas Valanciunas,2013,2018.0,C,7-0,265.0,1992-05-06,
Darnell Valentine,1982,1991.0,G,6-1,183.0,1959-02-03,University of Kansas
Denzel Valentine,2017,2018.0,G,6-6,212.0,1993-11-16,Michigan State University
Ronnie Valentine,1981,1981.0,F,6-7,210.0,1957-11-27,Old Dominion University
John Vallely,1971,1972.0,G,6-3,185.0,1948-10-03,"University of California, Los Angeles"
Dick Van Arsdale,1966,1977.0,G-F,6-5,210.0,1943-02-22,Indiana University
Tom Van Arsdale,1966,1977.0,F-G,6-5,202.0,1943-02-22,Indiana University
Butch Van Breda Kolff,1947,1950.0,G-F,6-3,185.0,1922-10-28,New York University
Jan Van Breda Kolff,1975,1983.0,F-G,6-7,195.0,1951-12-16,Vanderbilt University
Nick Van Exel,1994,2006.0,G,6-1,170.0,1971-11-27,University of Cincinnati
Keith Van Horn,1998,2006.0,F,6-10,220.0,1975-10-23,University of Utah
Norm Van Lier,1970,1979.0,G,6-1,173.0,1947-04-01,Saint Francis University
Dennis Van Zant,1976,1976.0,F,6-9,210.0,1952-06-01,Azusa Pacific University
Gene Vance,1948,1952.0,G-F,6-3,195.0,1923-02-25,University of Illinois at Urbana-Champaign
Logan Vander Velden,1996,1996.0,F,6-8,215.0,1971-04-03,University of Wisconsin-Green Bay
Ernie Vandeweghe,1950,1956.0,F-G,6-3,195.0,1928-09-12,Colgate University
Kiki Vandeweghe,1981,1993.0,F,6-8,220.0,1958-08-01,"University of California, Los Angeles"
Nick Vanos,1986,1987.0,C,7-1,255.0,1963-04-13,Santa Clara University
David Vanterpool,2001,2001.0,G,6-5,200.0,1973-03-31,St. Bonaventure University
Fred VanVleet,2017,2018.0,G,6-0,195.0,1994-02-25,Wichita State University
Ratko Varda,2002,2002.0,C,7-1,260.0,1979-05-06,
Anderson Varejao,2005,2017.0,F-C,6-10,273.0,1982-09-28,
Jarvis Varnado,2013,2014.0,F,6-9,230.0,1988-03-01,Mississippi State University
Greivis Vasquez,2011,2017.0,G,6-6,217.0,1987-01-16,University of Maryland
Chico Vaughn,1963,1970.0,G,6-2,190.0,1940-02-19,Southern Illinois University
David Vaughn,1975,1976.0,C,6-11,220.0,1952-06-04,Oral Roberts University
David Vaughn,1996,1999.0,F,6-9,240.0,1973-03-23,University of Memphis
Jacque Vaughn,1998,2009.0,G,6-1,190.0,1975-02-11,University of Kansas
Rashad Vaughn,2016,2018.0,G,6-6,202.0,1996-08-16,"University of Nevada, Las Vegas"
Virgil Vaughn,1947,1947.0,F-C,6-4,205.0,1918-05-15,Western Kentucky University
Loy Vaught,1991,2001.0,F,6-9,230.0,1968-02-27,University of Michigan
Bob Verga,1968,1974.0,G,6-1,190.0,1945-09-07,Duke University
Pete Verhoeven,1982,1987.0,F,6-9,215.0,1959-02-15,"California State University, Fresno"
Jan Vesely,2012,2014.0,F,6-11,240.0,1990-04-24,
Gundars Vetra,1993,1993.0,F,6-6,195.0,1967-05-22,
Joao Vianna,1992,1992.0,F,6-9,215.0,1966-11-15,
Charlie Villanueva,2006,2016.0,F,6-11,232.0,1984-08-24,University of Connecticut
Jay Vincent,1982,1990.0,F,6-7,220.0,1959-06-10,Michigan State University
Sam Vincent,1986,1992.0,G,6-2,185.0,1963-05-18,Michigan State University
Marcus Vinicius,2007,2008.0,F,6-8,225.0,1984-05-31,
Fred Vinson,1995,2000.0,G,6-4,190.0,1971-01-28,Georgia Institute of Technology
Claude Virden,1973,1973.0,F,6-6,195.0,1947-11-25,Murray State University
Gary Voce,1990,1990.0,F,6-9,240.0,1965-11-24,University of Notre Dame
Floyd Volker,1950,1950.0,F-C,6-4,205.0,1921-06-21,University of Wyoming
Alexander Volkov,1990,1992.0,C,6-10,218.0,1964-03-28,
Whitey Von Nieda,1950,1950.0,G-F,6-1,170.0,1922-06-19,Pennsylvania State University
Noah Vonleh,2015,2018.0,F,6-10,240.0,1995-08-24,Indiana University
Jake Voskuhl,2001,2009.0,C,6-11,245.0,1977-11-01,University of Connecticut
Danny Vranes,1982,1988.0,F,6-7,210.0,1958-10-29,University of Utah
Slavko Vranes,2004,2004.0,C,7-5,275.0,1983-01-30,
Stojko Vrankovic,1991,1999.0,C,7-2,260.0,1964-01-22,
Brett Vroman,1981,1981.0,C,7-0,220.0,1955-12-25,"University of Nevada, Las Vegas"
Jackson Vroman,2005,2006.0,F-C,6-10,220.0,1981-06-06,Iowa State University
Nikola Vučević,2012,2018.0,C,7-0,260.0,1990-10-24,University of Southern California
Sasha Vujacic,2005,2017.0,G,6-7,195.0,1984-03-08,
Dwyane Wade,2004,2018.0,G,6-4,220.0,1982-01-17,Marquette University
Mark Wade,1988,1990.0,G,5-11,160.0,1965-10-15,"University of Nevada, Las Vegas"
Von Wafer,2006,2012.0,G,6-5,210.0,1985-07-21,Florida State University
Clint Wager,1950,1950.0,C-F,6-6,210.0,1920-01-20,Saint Mary's University of Minnesota
Dajuan Wagner,2003,2007.0,G,6-2,200.0,1983-02-04,University of Memphis
Danny Wagner,1950,1950.0,G,6-0,170.0,1922-08-01,University of Texas at Austin
Milt Wagner,1988,1991.0,G,6-5,185.0,1963-02-20,University of Louisville
Phillip Wagner,1969,1969.0,G,6-2,190.0,1945-12-18,Georgia Institute of Technology
Dion Waiters,2013,2018.0,G,6-4,225.0,1991-12-10,Syracuse University
Granville Waiters,1984,1988.0,C,6-11,225.0,1961-01-08,Ohio State University
Andre Wakefield,1979,1980.0,G,6-3,175.0,1955-01-11,Loyola University of Chicago
Neal Walk,1970,1977.0,C,6-10,220.0,1948-07-29,University of Florida
Andy Walker,1977,1977.0,G,6-4,190.0,1955-03-25,Niagara University
Antoine Walker,1997,2008.0,F,6-8,224.0,1976-08-12,University of Kentucky
Brady Walker,1949,1952.0,F-C,6-6,205.0,1921-03-15,Brigham Young University
Chet Walker,1963,1975.0,F-G,6-6,212.0,1940-02-22,Bradley University
Darrell Walker,1984,1993.0,G,6-4,180.0,1961-03-09,University of Arkansas
Foots Walker,1975,1984.0,G,6-0,184.0,1951-05-21,State University of West Georgia
Henry Walker,2009,2015.0,F,6-6,220.0,1987-10-09,Kansas State University
Horace Walker,1962,1962.0,F,6-3,210.0,1937-04-17,Michigan State University
Jimmy Walker,1968,1976.0,G,6-3,195.0,1944-04-08,Providence College
Kemba Walker,2012,2018.0,G,6-1,172.0,1990-05-08,University of Connecticut
Kenny Walker,1987,1995.0,F,6-8,210.0,1964-08-18,University of Kentucky
Phil Walker,1978,1978.0,G,6-3,180.0,1956-03-20,Millersville University of Pennsylvania
Samaki Walker,1997,2006.0,F,6-9,240.0,1976-02-25,University of Louisville
Wally Walker,1977,1984.0,F,6-7,190.0,1954-07-18,University of Virginia
John Wall,2011,2018.0,G,6-4,195.0,1990-09-06,University of Kentucky
Ben Wallace,1997,2012.0,F-C,6-9,240.0,1974-09-10,Virginia Union University
Gerald Wallace,2002,2015.0,F,6-7,215.0,1982-07-23,University of Alabama
John Wallace,1997,2004.0,F,6-8,225.0,1974-02-09,Syracuse University
Rasheed Wallace,1996,2013.0,F-C,6-10,225.0,1974-09-17,University of North Carolina
Red Wallace,1947,1947.0,G,6-1,185.0,1918-07-12,University of Scranton
Dwight Waller,1969,1972.0,F,6-6,220.0,1945-10-05,Tennessee State University
Jamie Waller,1988,1988.0,G,6-4,215.0,1964-11-20,Virginia Union University
Taurean Waller-Prince,2017,2018.0,F,6-8,220.0,1994-03-22,Baylor University
Jim Walsh,1958,1958.0,F,6-4,195.0,1930-08-29,Stanford University
Matt Walsh,2006,2006.0,G-F,6-6,205.0,1982-12-02,University of Florida
Rex Walters,1994,2000.0,G,6-4,190.0,1970-03-12,University of Kansas
Paul Walther,1950,1955.0,G-F,6-2,160.0,1927-03-23,University of Tennessee
Isaac Walthour,1954,1954.0,G,5-11,163.0,1930-08-25,
Bill Walton,1975,1987.0,C-F,6-11,210.0,1952-11-05,"University of California, Los Angeles"
Derrick Walton,2018,2018.0,G,6-1,189.0,1995-04-03,University of Michigan
Lloyd Walton,1977,1981.0,G,6-0,160.0,1953-11-23,Marquette University
Luke Walton,2004,2013.0,F,6-8,235.0,1980-03-28,University of Arizona
Bobby Wanzer,1949,1957.0,G,6-0,170.0,1921-06-04,Seton Hall University
Perry Warbington,1975,1975.0,G,6-2,165.0,1952-09-07,Georgia Southern University
Charlie Ward,1995,2005.0,G,6-2,190.0,1970-10-12,Florida State University
Gerry Ward,1964,1967.0,G,6-4,195.0,1941-09-06,Boston College
Henry Ward,1976,1977.0,G-F,6-4,195.0,1952-01-30,Jackson State University
Casper Ware,2014,2014.0,G,5-10,175.0,1990-01-17,"California State University, Long Beach"
Jim Ware,1967,1969.0,F,6-7,210.0,1944-05-02,Oklahoma City University
Ben Warley,1963,1970.0,F-G,6-5,200.0,1936-09-04,Tennessee State University
Bob Warlick,1966,1970.0,G-F,6-5,200.0,1941-03-20,Pepperdine University
Cornell Warner,1971,1977.0,F-C,6-9,220.0,1948-08-12,Jackson State University
Bob Warren,1969,1976.0,G,6-5,190.0,1946-07-17,Vanderbilt University
John Warren,1970,1974.0,G-F,6-3,180.0,1947-07-07,St. John's University
T.J. Warren,2015,2018.0,F,6-8,230.0,1993-09-05,North Carolina State University
Willie Warren,2011,2011.0,G,6-4,203.0,1989-10-22,University of Oklahoma
Bryan Warrick,1983,1986.0,G,6-5,195.0,1959-07-22,Saint Joseph's University
Hakim Warrick,2006,2013.0,F,6-9,219.0,1982-07-08,Syracuse University
Chris Washburn,1987,1988.0,C,6-11,225.0,1965-05-13,North Carolina State University
Bobby Washington,1970,1972.0,G,5-11,175.0,1947-07-11,Eastern Kentucky University
Darius Washington,2008,2008.0,G,6-2,195.0,1985-12-06,University of Memphis
Donald Washington,1975,1976.0,F,6-8,210.0,1952-04-22,University of North Carolina
Duane Washington,1988,1993.0,G,6-4,195.0,1964-08-31,Middle Tennessee State University
Eric Washington,1998,1999.0,G,6-4,190.0,1974-03-23,University of Alabama
Jim Washington,1966,1976.0,F-C,6-6,210.0,1943-07-01,Villanova University
Kermit Washington,1974,1988.0,F-C,6-8,230.0,1951-09-17,American University
Pearl Washington,1987,1989.0,G,6-2,190.0,1964-01-06,Syracuse University
Richard Washington,1977,1982.0,F-C,6-11,220.0,1955-07-15,"University of California, Los Angeles"
Stan Washington,1975,1975.0,G,6-4,190.0,1952-01-23,University of San Diego
Trooper Washington,1968,1973.0,F-C,6-7,215.0,1944-04-21,Cheyney University of Pennsylvania
Wilson Washington,1978,1979.0,F-C,6-9,227.0,1955-08-03,Old Dominion University
Darryl Watkins,2008,2012.0,C,6-11,258.0,1984-11-08,Syracuse University
Bobby Watson,1955,1955.0,G,6-0,160.0,1930-03-22,University of Kentucky
C.J. Watson,2008,2017.0,G,6-2,175.0,1984-04-17,University of Tennessee
Earl Watson,2002,2014.0,G,6-1,195.0,1979-06-12,"University of California, Los Angeles"
Jamie Watson,1995,1999.0,F,6-7,190.0,1972-02-23,University of South Carolina
Ron Watts,1966,1967.0,F,6-6,210.0,1943-05-21,Wake Forest University
Samuel Watts,1971,1971.0,G,6-3,185.0,1948-03-14,Florida Agricultural and Mechanical University
Slick Watts,1974,1979.0,G,6-1,175.0,1951-07-22,Xavier University of Louisiana
Maalik Wayns,2013,2014.0,G,6-2,200.0,1991-05-02,Villanova University
David Wear,2015,2015.0,F,6-10,230.0,1990-09-21,"University of California, Los Angeles"
Travis Wear,2015,2015.0,F,6-10,230.0,1990-09-21,"University of California, Los Angeles"
Clarence Weatherspoon,1993,2005.0,F,6-6,240.0,1970-09-08,University of Southern Mississippi
Nick Weatherspoon,1974,1980.0,F,6-7,195.0,1950-07-20,University of Illinois at Urbana-Champaign
Kyle Weaver,2009,2011.0,G,6-6,201.0,1986-02-18,Washington State University
Jeff Webb,1971,1972.0,G,6-4,170.0,1948-07-06,Kansas State University
Marcus Webb,1993,1993.0,F-C,6-9,255.0,1970-05-09,University of Alabama
Spud Webb,1986,1998.0,G,5-6,133.0,1963-07-13,North Carolina State University
Chris Webber,1994,2008.0,F-C,6-9,245.0,1973-03-01,University of Michigan
Briante Weber,2016,2018.0,G,6-2,165.0,1992-12-29,Virginia Commonwealth University
Jake Weber,1947,1947.0,C,6-6,225.0,1918-03-18,Purdue University
Elnardo Webster,1972,1972.0,F,6-5,190.0,1948-03-06,Saint Peter's College
Jeff Webster,1996,1996.0,F,6-8,232.0,1971-02-19,University of Oklahoma
Martell Webster,2006,2015.0,G-F,6-7,230.0,1986-12-04,
Marvin Webster,1976,1987.0,C,7-1,225.0,1952-04-13,Morgan State University
Scott Wedman,1975,1987.0,F-G,6-7,215.0,1952-07-29,University of Colorado
Sonny Weems,2009,2016.0,G-F,6-6,205.0,1986-07-08,University of Arkansas
Dick Wehr,1949,1949.0,F,6-4,180.0,1925-12-09,Rice University
Brant Weidner,1984,1984.0,F,6-9,230.0,1960-10-28,College of William & Mary
Bob Weiss,1966,1977.0,G,6-2,180.0,1942-05-07,Pennsylvania State University
Rick Weitzman,1968,1968.0,G,6-2,175.0,1946-04-30,Northeastern University
Bonzi Wells,1999,2008.0,G-F,6-5,210.0,1976-09-28,Ball State University
Bubba Wells,1998,1998.0,F,6-5,230.0,1974-07-26,Austin Peay State University
Owen Wells,1975,1975.0,F,6-7,200.0,1950-12-09,University of Detroit Mercy
Ralph Wells,1963,1963.0,G,6-1,180.0,1940-09-03,Northwestern University
Chris Welp,1988,1990.0,C,7-0,245.0,1964-01-02,University of Washington
Jiri Welsch,2003,2006.0,G,6-7,208.0,1980-01-27,
Bill Wennington,1986,2000.0,C,7-0,245.0,1963-04-26,St. John's University
Matt Wenstrom,1994,1994.0,C,7-1,250.0,1970-11-04,University of North Carolina
Robert Werdann,1993,1997.0,C,6-11,250.0,1970-09-12,St. John's University
Ray Wertis,1947,1948.0,G,5-11,,1922-01-01,St. John's University
David Wesley,1994,2007.0,G,6-0,190.0,1970-11-14,Baylor University
Walt Wesley,1967,1976.0,C,6-11,220.0,1945-01-25,University of Kansas
David West,2004,2018.0,F,6-9,250.0,1980-08-29,Xavier University
Delonte West,2005,2012.0,G,6-4,180.0,1983-07-26,Saint Joseph's University
Doug West,1990,2001.0,G-F,6-6,200.0,1967-05-27,Villanova University
Jerry West,1961,1974.0,G,6-2,175.0,1938-05-28,West Virginia University
Mario West,2008,2011.0,G,6-5,210.0,1984-06-19,Georgia Institute of Technology
Mark West,1984,2000.0,C-F,6-10,230.0,1960-11-05,Old Dominion University
Roland West,1968,1968.0,G,6-4,178.0,1944-06-06,University of Cincinnati
Dexter Westbrook,1968,1968.0,F,6-8,190.0,,Providence College
Russell Westbrook,2009,2018.0,G,6-3,200.0,1988-11-12,"University of California, Los Angeles"
Paul Westphal,1973,1984.0,G,6-4,195.0,1950-11-30,University of Southern California
John Wetzel,1968,1976.0,G-F,6-5,190.0,1944-10-22,Virginia Polytechnic Institute and State University
Robert Whaley,2006,2006.0,C,6-10,260.0,1982-04-16,Walsh University
Ennis Whatley,1984,1997.0,G,6-3,177.0,1962-08-11,University of Alabama
DeJuan Wheat,1998,1999.0,G,6-0,165.0,1973-10-14,University of Louisville
Clinton Wheeler,1988,1989.0,G,6-1,185.0,1959-10-27,William Paterson University
Tyson Wheeler,1999,1999.0,G,5-10,165.0,1975-10-08,University of Rhode Island
Skippy Whitaker,1955,1955.0,G,6-1,180.0,1930-08-29,University of Kentucky
D.J. White,2009,2014.0,F,6-9,251.0,1986-08-31,Indiana University
Derrick White,2018,2018.0,G,6-5,190.0,1994-07-02,University of Colorado
Eric White,1988,1989.0,F,6-8,200.0,1965-12-30,Pepperdine University
Herb White,1971,1971.0,G,6-2,195.0,1948-06-15,University of Georgia
Hubie White,1963,1971.0,G-F,6-4,205.0,1940-01-26,Villanova University
Jahidi White,1999,2005.0,F-C,6-9,290.0,1976-02-19,Georgetown University
James White,2007,2013.0,G-F,6-7,200.0,1982-10-21,University of Cincinnati
Jo Jo White,1970,1981.0,G,6-3,190.0,1946-11-16,University of Kansas
Okaro White,2017,2018.0,F,6-8,204.0,1992-08-13,Florida State University
Randy White,1990,1994.0,F,6-8,240.0,1967-11-04,Louisiana Tech University
Rodney White,2002,2005.0,F,6-9,238.0,1980-06-28,University of North Carolina at Charlotte
Rory White,1983,1987.0,F,6-8,210.0,1959-08-16,University of South Alabama
Royce White,2014,2014.0,F,6-8,270.0,1991-04-10,Iowa State University
Rudy White,1976,1981.0,G,6-2,195.0,1953-06-23,Arizona State University
Tony White,1988,1988.0,G,6-2,170.0,1965-02-15,University of Tennessee
Willie White,1985,1986.0,G,6-3,195.0,1962-08-20,University of Tennessee at Chattanooga
Isaiah Whitehead,2017,2018.0,G,6-4,213.0,1995-03-08,Seton Hall University
Jerome Whitehead,1979,1989.0,C-F,6-10,220.0,1956-09-30,Marquette University
Donald Whiteside,1997,1998.0,G,5-10,160.0,1969-04-25,Northern Illinois University
Hassan Whiteside,2011,2018.0,C,7-0,265.0,1989-06-13,Marshall University
Dwayne Whitfield,1996,1996.0,F,6-9,240.0,1972-08-21,Jackson State University
Chris Whitney,1994,2004.0,G,6-0,168.0,1971-10-05,Clemson University
Hank Whitney,1968,1970.0,F-C,6-7,230.0,1939-04-28,Iowa State University
Hawkeye Whitney,1981,1982.0,G-F,6-5,235.0,1957-06-22,North Carolina State University
Shayne Whittington,2015,2016.0,F-C,6-11,250.0,1991-03-27,Western Michigan University
Sidney Wicks,1972,1981.0,F-C,6-8,225.0,1949-09-19,"University of California, Los Angeles"
Ron Widby,1968,1968.0,F,6-4,210.0,1945-03-09,University of Tennessee
Murray Wier,1950,1950.0,G,5-9,155.0,1926-12-12,University of Iowa
Bob Wiesenhahn,1962,1962.0,F,6-4,215.0,1938-12-22,University of Cincinnati
Andrew Wiggins,2015,2018.0,F-G,6-8,199.0,1995-02-23,University of Kansas
Mitchell Wiggins,1984,1992.0,G,6-4,185.0,1959-09-28,Florida State University
Ken Wilburn,1968,1969.0,F,6-6,195.0,1944-06-08,Central State University
C.J. Wilcox,2015,2017.0,G,6-5,195.0,1990-12-30,University of Washington
Chris Wilcox,2003,2013.0,F,6-10,221.0,1982-09-03,University of Maryland
D.C. Wilcutt,1949,1950.0,G,6-2,165.0,1923-03-25,Saint Louis University
Gene Wiley,1963,1968.0,C,6-10,210.0,1937-11-12,Wichita State University
Jacob Wiley,2018,2018.0,F,6-7,215.0,1994-09-04,Eastern Washington University
Michael Wiley,1981,1982.0,F,6-9,200.0,1957-10-16,"California State University, Long Beach"
Morlon Wiley,1989,1995.0,G,6-4,185.0,1966-09-24,"California State University, Long Beach"
Win Wilfong,1958,1961.0,G-F,6-2,185.0,1933-03-18,University of Memphis
Lenny Wilkens,1961,1975.0,G,6-1,180.0,1937-10-28,Providence College
Bob Wilkerson,1977,1983.0,G-F,6-6,195.0,1954-08-15,Indiana University
Jamaal Wilkes,1975,1986.0,F-G,6-6,190.0,1953-05-02,"University of California, Los Angeles"
James Wilkes,1981,1983.0,F,6-7,195.0,1958-04-01,"University of California, Los Angeles"
Damien Wilkins,2005,2018.0,F-G,6-6,225.0,1980-01-11,University of Georgia
Dominique Wilkins,1983,1999.0,F-G,6-7,200.0,1960-01-12,University of Georgia
Eddie Lee Wilkins,1985,1993.0,F-C,6-10,220.0,1962-05-07,Gardner-Webb University
Gerald Wilkins,1986,1999.0,G-F,6-6,185.0,1963-09-11,University of Tennessee at Chattanooga
Jeff Wilkins,1981,1986.0,C-F,6-11,230.0,1955-03-09,Illinois State University
Dale Wilkinson,1985,1985.0,F,6-10,220.0,1960-03-18,Idaho State University
Mike Wilks,2003,2010.0,G,5-10,185.0,1979-05-07,Rice University
Aaron Williams,1994,2008.0,F-C,6-9,220.0,1971-10-02,Xavier University
Al Williams,1971,1971.0,F,6-6,200.0,1948-02-03,Drake University
Alan Williams,2016,2017.0,F-C,6-8,260.0,1993-01-28,"University of California, Santa Barbara"
Alvin Williams,1998,2007.0,G,6-5,185.0,1974-08-06,Villanova University
Art Williams,1968,1975.0,G,6-1,180.0,1939-09-29,"California State Polytechnic University, Pomona"
Bernie Williams,1970,1974.0,G,6-3,175.0,1945-12-30,La Salle University
Bob Williams,1956,1957.0,F,6-6,230.0,1931-05-12,Florida Agricultural and Mechanical University
Brandon Williams,1998,2003.0,G,6-6,215.0,1975-02-27,Davidson College
Buck Williams,1982,1998.0,F-C,6-8,215.0,1960-03-08,University of Maryland
C.J. Williams,2018,2018.0,G,6-5,225.0,1990-02-06,North Carolina State University
